color,pct,level_0_255,voltage_mV,current_mA,current_stdev_mA,power_mW,current_delta_mA,power_delta_mW
baseline,0,0,11981,107.75,0.433,1295,0.0,0
red,0,0,11980.8,107.75,0.433,1295,0.0,0
red,5,13,11979.5,113.5,0.5,1365,5.75,70
red,10,26,11976,129.75,0.433,1556.2,22.0,261.2
red,15,38,11972.8,150.25,0.433,1805,42.5,510
red,20,51,11968.8,173.25,0.829,2072.5,65.5,777.5
red,25,64,11966,194.25,1.479,2331.2,86.5,1036.2
red,30,76,11962.2,215.75,1.299,2583.8,108.0,1288.8
red,35,89,11957.5,238.5,1.5,2858.8,130.75,1563.8
red,40,102,11953.5,261,1.581,3130,153.25,1835
red,45,115,11950,284.75,0.829,3398.8,177.0,2103.8
red,50,128,11946.5,307.5,1.118,3675,199.75,2380
red,55,140,11942.8,326.5,0.866,3906.2,218.75,2611.2
red,60,153,11939,350.75,0.829,4190,243.0,2895
red,65,166,11935.8,372,1.225,4445,264.25,3150
red,70,178,11932.2,392.75,1.09,4681.2,285.0,3386.2
red,75,191,11927.5,416,1.225,4967.5,308.25,3672.5
red,80,204,11923.5,438.75,0.829,5235,331.0,3940
red,85,217,11920.2,461.25,0.829,5498.8,353.5,4203.8
red,90,230,11916.2,483,0.707,5760,375.25,4465
red,95,242,11913,504,0.707,6008.8,396.25,4713.8
red,100,255,11910,526,0.0,6278.8,418.25,4983.8
green,0,0,11980.8,110,0.0,1323.8,2.25,28.8
green,5,13,11980,114.25,0.433,1377.5,6.5,82.5
green,10,26,11977,130.25,0.433,1567.5,22.5,272.5
green,15,38,11972.8,150.5,0.5,1812.5,42.75,517.5
green,20,51,11969.5,173,0.707,2075,65.25,780
green,25,64,11965.5,195.5,0.5,2350,87.75,1055
green,30,76,11961.8,215.5,1.5,2581.2,107.75,1286.2
green,35,89,11958.2,239.25,0.829,2860,131.5,1565
green,40,102,11953.8,262.5,1.658,3142.5,154.75,1847.5
green,45,115,11950.2,283.75,0.829,3400,176.0,2105
green,50,128,11946.2,306.5,2.179,3663.8,198.75,2368.8
green,55,140,11942.2,327.25,0.829,3917.5,219.5,2622.5
green,60,153,11938.5,350.25,1.479,4185,242.5,2890
green,65,166,11935.8,373.25,1.479,4471.2,265.5,3176.2
green,70,178,11932,392.25,0.829,4677.5,284.5,3382.5
green,75,191,11928.2,416.25,1.92,4981.2,308.5,3686.2
green,80,204,11924.5,437.75,1.785,5220,330.0,3925
green,85,217,11920.8,460.75,1.299,5486.2,353.0,4191.2
green,90,230,11916.5,483.25,0.829,5765,375.5,4470
green,95,242,11912.5,503.75,0.433,6007.5,396.0,4712.5
green,100,255,11908.5,526,0.0,6272.5,418.25,4977.5
blue,0,0,11980.8,110,0.0,1323.8,2.25,28.8
blue,5,13,11979.5,115,0.707,1385,7.25,90
blue,10,26,11977,129.75,0.433,1560,22.0,265
blue,15,38,11972.8,150.75,0.433,1815,43.0,520
blue,20,51,11969,172.75,0.829,2072.5,65.0,777.5
blue,25,64,11965.8,195.25,1.479,2346.2,87.5,1051.2
blue,30,76,11962.2,216.5,0.5,2592.5,108.75,1297.5
blue,35,89,11957.5,240,1.225,2871.2,132.25,1576.2
blue,40,102,11954,260.75,1.92,3120,153.0,1825
blue,45,115,11950.2,284.25,0.829,3401.2,176.5,2106.2
blue,50,128,11947,305,0.707,3656.2,197.25,2361.2
blue,55,140,11942.8,325.75,0.829,3897.5,218.0,2602.5
blue,60,153,11939.8,350.5,0.866,4182.5,242.75,2887.5
blue,65,166,11935.2,372,0.707,4443.8,264.25,3148.8
blue,70,178,11931.5,392.5,1.5,4683.8,284.75,3388.8
blue,75,191,11927.5,415.75,1.09,4963.8,308.0,3668.8
blue,80,204,11924.8,438.5,0.5,5223.8,330.75,3928.8
blue,85,217,11920.5,459,1.225,5476.2,351.25,4181.2
blue,90,230,11916.2,483,0.707,5756.2,375.25,4461.2
blue,95,242,11912.5,503.25,0.829,6002.5,395.5,4707.5
blue,100,255,11909.5,526,0.707,6272.5,418.25,4977.5
white,0,0,11981,110,0.0,1321.2,2.25,26.2
white,5,13,11979,115,0.707,1385,7.25,90
white,10,26,11976,130.25,0.433,1567.5,22.5,272.5
white,15,38,11972.2,150.25,0.433,1808.8,42.5,513.8
white,20,51,11969.5,172.75,0.433,2076.2,65.0,781.2
white,25,64,11965.2,195.25,0.829,2341.2,87.5,1046.2
white,30,76,11962,216,0.707,2582.5,108.25,1287.5
white,35,89,11957.8,239,0.707,2858.8,131.25,1563.8
white,40,102,11953.2,261,1.225,3125,153.25,1830
white,45,115,11950.5,283.25,0.433,3388.8,175.5,2093.8
white,50,128,11946.5,305,1.871,3655,197.25,2360
white,55,140,11942.2,327.25,0.433,3916.2,219.5,2621.2
white,60,153,11938.2,348.25,1.09,4160,240.5,2865
white,65,166,11935.8,371.25,0.433,4431.2,263.5,3136.2
white,70,178,11931.5,392,1.581,4678.8,284.25,3383.8
white,75,191,11927.5,414.5,1.118,4955,306.75,3660
white,80,204,11924,437.5,1.658,5225,329.75,3930
white,85,217,11920.5,459.5,1.118,5480,351.75,4185
white,90,230,11916.5,481.5,0.5,5742.5,373.75,4447.5
white,95,242,11912.8,502.5,1.118,5982.5,394.75,4687.5
white,100,255,11909,524.5,0.5,6250,416.75,4955
