Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C9",0805,3,10uF,
C10,CP_Radial_D5.0mm_P2.00mm,1,100uF,
"C3, C4, C5, C8",0805,4,0.1uF,
D1,0805,1,RED,
D2,0805,1,GREEN,
D3,0805,1,ORANGE,
D4,SOT95P230X117-3N,1,CDSOT23-SM712,
IC1,TSSOP-10_3x3mm_P0.5mm,1,INA226,
"IC2, IC3",SOIC127P600X175-8N,2,THVD1420DR,
J5,1548129,1,Row Bus Header,
J6,TB003-500-P04BE,1,Tile Bus Header,
J7,Quad Powerpole,1,~,
R1,2010,1,5mOhms,
"R10, R8, R9",0805,3,260ohm,
"R11, R12",1206,2,10 Ohms,
"R13, R14",0805,2,120ohm,
"R2, R5",0805,2,4.7K,
"R3, R4, R6, R7",0805,4,10K,
U1,MODULE_113991054,1,XAIO RP2350,
U2,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-0.5,
