Designator,Mid X,Mid Y,Rotation,Layer
C1,105.3,-112.6,0.0,bottom
C10,96.4,-104.644888,90.0,top
C2,105.3,-103.3,0.0,bottom
C3,113.945,-111.5,180.0,top
C4,92.7,-108.3,90.0,top
C5,120.9,-123.4,180.0,top
C8,98.8,-100.3,0.0,bottom
C9,100.1,-102.4,0.0,bottom
D1,94.0,-100.3,0.0,top
D2,85.4,-124.6,0.0,top
D3,85.3825,-121.5,0.0,top
D4,109.34,-124.7,270.0,bottom
IC1,112.752,-108.6,270.0,top
IC2,94.3,-114.1,90.0,top
IC3,124.7,-119.6,180.0,top
J5,106.8,-122.3,0.0,top
J6,86.0,-109.4,270.0,top
J7,126.325,-107.9625,270.0,top
R1,117.552,-107.85,270.0,top
R10,89.2,-121.5,180.0,top
R11,118.3,-120.8,180.0,top
R12,118.3,-118.4,180.0,top
R13,109.34,-120.3,0.0,bottom
R14,83.5,-114.4,90.0,bottom
R2,110.9,-105.4,0.0,top
R3,130.411,-119.405,0.0,top
R4,130.411,-121.405,180.0,top
R5,110.9,-103.4,0.0,top
R6,94.7,-119.8,270.0,top
R7,92.6,-119.8,90.0,top
R8,97.8,-100.3,180.0,top
R9,89.2175,-124.6,180.0,top
U1,110.021,-107.9625,90.0,top
U2,106.3075,-107.9075,90.0,top
