"Reference","Qty","Value","Footprint","Datasheet","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"C1,C2,C9","3","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","","",""
"C3,C8","2",".1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","","",""
"C4,C5","2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","","",""
"C10","1","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","",""
"D1","1","RED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","",""
"D2","1","GREEN","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","",""
"D3","1","ORANGE","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","",""
"D4","1","CDSOT23-SM712","Garth:SOT95P230X117-3N","","","Bourns","CDSOT23-SM712","652-CDSOT23-SM712","https://www.mouser.co.uk/ProductDetail/Bourns/CDSOT23-SM712?qs=FuI%252BOVLl4%2FLTY%2FGQ265RLA%3D%3D"
"IC1","1","INA220BIDGSR","INA220BIDGSR:SOP50P490X110-10N","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjmjtir89X0AhURJhoKHaPyDwQQFnoECAYQAQ&url=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fina220&usg=AOvVaw07x1sxfOz2jTbSfMErQ1Ge","","Texas Instruments","INA220BIDGSR","595-INA220BIDGSR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA220BIDGSR?qs=1WmUhT%2FVMIOT5ctmN12eDg%3D%3D"
"IC2,IC3","2","THVD1420DR","THVD1420DR:SOIC127P600X175-8N","https://www.ti.com/lit/ds/symlink/thvd1420.pdf?ts=1627460855173&ref_url=https%253A%252F%252Fwww.google.com%252F","","Texas Instruments","THVD1420DR","595-THVD1420DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/THVD1420DR?qs=iLbezkQI%252Bsio9fbTvISdEg%3D%3D"
"J1","1","Power In","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","","","","","",""
"J3","1","Power Row","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","","","","","",""
"J5","1","Row Bus Header","Garth:1548129","https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkdsn-15-3-508-spe-1548129?type=pdf","","Phoenix Contact","1548129","651-1548129","https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1548129?qs=ulEaXIWI0c%2FYtJCBk3iUtQ%3D%3D"
"J6","1","Tile Bus Header","Garth:TB003-500-P04BE","https://www.sameskydevices.com/product/resource/supplyframepdf/tb003-500.pdf","","Same Sky","TB003-500-P04BE","490-TB003-500-P04BE","https://www.mouser.co.uk/ProductDetail/Same-Sky/TB003-500-P04BE?qs=vLWxofP3U2xuSMrdJqsQlA%3D%3D"
"R1","1","5mOhms","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","","","","","",""
"R2,R5","2","4.7K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","",""
"R3,R4,R6,R7","4","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","",""
"R8,R9,R10","3","260ohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","",""
"R11,R12","2","10 Ohms","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","",""
"R13,R14","2","120ohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","",""
"U1","1","XAIO ESP32-C3","ESP32-C3:MODULE_113991054","","Seeed Technology","","","",""
"U2","1","R-78E5.0-0.5","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT","https://www.recom-power.com/pdf/Innoline/R-78Exx-0.5.pdf","","","","",""
