Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",0805,4,0.1uF,C49678
C4,0805,1,10uF,C1713
C7,CAPAE530X550N,1,47uF,C249915
IC1,SOIC127P600X175-8N,1,THVD1420DR,C3235215
J1,PinHeader_1x03_P2.54mm_Vertical,1,LED Strip,C92159
J2,PinHeader_1x03_P2.54mm_Vertical,1,UPDI,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,12V,C158012
J6,8P8C RA RJ45 Jack,1,RS-485 Jack,
PS1,SOT95P237X112-3N,1,TLV76050DBZR,C2867465
"R1, R2",0805,2,10K,C17414
R3,0805,1,330,C17630
U1,SSOP-20_5.3x7.2mm_P0.65mm,1,ATtiny3226-X,C3235640
