"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"C1,C2,C3","3","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","",""
"C4","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","",""
"C5,C6","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","",""
"C7","1","865080342006","","","","Garth:CAPAE530X550N","https://www.we-online.com/catalog/datasheet/865080342006.pdf","Wurth Elektronik","865080342006","710-865080342006","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080342006?qs=0KOYDY2FL29xVKiM9%252BqXcQ%3D%3D"
"IC1","1","THVD1420DR","","","","THVD1420DR:SOIC127P600X175-8N","https://www.ti.com/lit/ds/symlink/thvd1420.pdf?ts=1627460855173&ref_url=https%253A%252F%252Fwww.google.com%252F","Texas Instruments","THVD1420DR","595-THVD1420DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/THVD1420DR?qs=iLbezkQI%252Bsio9fbTvISdEg%3D%3D"
"J1","1","LED Strip","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","",""
"J2","1","UPDI","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","",""
"J5","1","12V","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","","","",""
"J6","1","RS-485 Jack","","","","Garth:6P6C RA RJ45 Jack","","","","",""
"PS1","1","TLV76050DBZR","","","","TLV76050DBZR:SOT95P237X112-3N","http://www.ti.com/lit/gpn/tlv760","Texas Instruments","TLV76050DBZR","595-TLV76050DBZR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV76050DBZR?qs=HXFqYaX1Q2wum5FdXU6CLA%3D%3D"
"R1,R2","2","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","",""
"R3","1","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","",""
"U1","1","ATtiny3224-X","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3224-3226-3227-Data-Sheet-DS40002345A.pdf","","","",""
